"experiment_group","paper_variant","suite","seed","paired_core_included","status","training_success","evaluation_success","total_return_pct","reported_nav_return_pct","trading_return_pct","operating_return_pct","sharpe_ratio","reported_nav_sharpe","trading_sharpe","max_drawdown_pct","trading_max_dd_pct","volatility","total_distributions_usd_m","trading_gain_usd_m","operating_gain_usd_m","trading_gain_share","mean_abs_exposure_dkk_m","final_portfolio_value_usd_m","reported_nav_final_usd_m","total_rewards","average_risk","notes","source_file"
"ablation","Forecast prior only","abl_forecast_prior_only","7","False","completed","","True","24.7929872581803","14.3771064076984","138.742891680257","9.25185056859412","140.118905180382","14.0455272637823","98.5915714085738","0.0521248065310629","0.36354040677415","0.00197396180286207","83.327019","133.193174","65.133028","0.67158636949322","35.512999","998.343562","915.016543","-411.359406825558","0.199633454953204","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_forecast_prior_only\seed7\evaluations_2025\tier1_forecast_utilization\tier_result_20260514_222811.csv"
"ablation","Forecast prior only","abl_forecast_prior_only","42","False","completed","","True","24.7779783301736","14.4517589717534","138.617548918071","9.25185056859412","140.044414477322","14.1632660917246","98.5314237876775","0.052052476489251","0.363517704488303","0.00197386245418542","82.609727","133.072843","65.133028","0.671386989010946","35.421357","998.223489","915.613762","-80.343121255301","0.199052123996751","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_forecast_prior_only\seed42\evaluations_2025\tier1_forecast_utilization\tier_result_20260515_035713.csv"
"ablation","Forecast prior only","abl_forecast_prior_only","123","False","summary_only_no_tier_result","False","False","","","","","","","","","","","","","","","","","","","","summary_present_no_completed_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_forecast_prior_only\tier1_forecast_utilization_only_seed_suite_summary.csv"
"ablation","No prior path control","abl_no_prior_path_control","7","False","summary_only_no_tier_result","False","False","","","","","","","","","","","","","","","","","","","","summary_present_no_completed_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_no_prior_path_control\tier1_forecast_utilization_only_seed_suite_summary.csv"
"ablation","Weak conformal gate","abl_weak_conformal_gate","7","False","completed","","True","50.4804468127972","14.4350316432165","352.666711336753","9.25185056859412","164.414464272979","7.49676992969939","122.929807668413","0.0858208205886653","0.602747333393533","0.00320575057225184","288.363224","338.560038","65.133028","0.83865705519211","98.517161","1203.843169","915.479945","57.5539109500901","0.200775509105078","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_weak_conformal_gate\seed7\evaluations_2025\tier1_forecast_utilization\tier_result_20260514_222957.csv"
"ablation","Weak conformal gate","abl_weak_conformal_gate","42","False","completed","","True","48.4818931686345","14.4652048480089","336.044014864791","9.25185056859412","172.557918351662","7.75749974452872","129.078213076064","0.0802742750667469","0.575388459317322","0.00295077208732162","272.133414","322.602244","65.133028","0.832016758154137","92.651609","1187.854743","915.721329","397.70239609158","0.20008945510491","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_weak_conformal_gate\seed42\evaluations_2025\tier1_forecast_utilization\tier_result_20260515_035855.csv"
"ablation","Weak conformal gate","abl_weak_conformal_gate","123","False","summary_only_no_tier_result","False","False","","","","","","","","","","","","","","","","","","","","summary_present_no_completed_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_weak_conformal_gate\tier1_forecast_utilization_only_seed_suite_summary.csv"
"baseline","Buy-and-hold","baselines/Baseline3_BuyAndHold","","False","pending","","False","","","","","","","","","","","","","","","","","","","","Passive cash/bond floor",""
"baseline","IEEE standards","baselines/Baseline4_IEEE","","False","pending","","False","","","","","","","","","","","","","","","","","","","","Non-learning compliance baseline",""
"baseline","Rule-based heuristic","baselines/Baseline2_RuleBasedHeuristic","","False","pending","","False","","","","","","","","","","","","","","","","","","","","Expert-rule baseline",""
"baseline","SARL","baselines/Baseline5_SARL","","False","pending","","False","","","","","","","","","","","","","","","","","","","","Single-agent RL baseline",""
"baseline","Traditional portfolio","baselines/Baseline1_TraditionalPortfolio","","False","pending","","False","","","","","","","","","","","","","","","","","","","","Markowitz-style optimization baseline",""
"core","Tier1","tiers_tier1_baseline","7","True","completed","","True","26.093446714463","14.4175790128241","149.457963406453","9.25185056859412","99.8235084373178","13.0507374611918","71.3294796568884","0.0574491698479423","0.408148679202312","0.00290978255261099","93.40691","143.479643","65.133028","0.687780095979178","76.735927","1008.747234","915.340324","-359.621536999704","0.200380806658954","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\seed7\evaluations_2025\tier1\tier_result_20260514_154841.csv"
"core","Tier1","tiers_tier1_baseline","42","True","completed","","True","22.1792285312246","14.4326283826967","116.928541971348","9.25185056859412","111.808545873761","16.2284694400264","76.8647667582262","0.164722705477454","1.06044797829205","0.00222043941216491","61.97278","112.251397","65.133028","0.632814278484214","56.034764","977.433498","915.460717","-147.367348847304","0.199425744682073","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\seed42\evaluations_2025\tier1\tier_result_20260514_155943.csv"
"core","Tier1","tiers_tier1_baseline","123","True","completed","","True","23.9406493172199","14.3756974237976","131.561709391563","9.25185056859412","126.444173877065","14.6159862033961","89.2107266291584","0.0368356309363185","0.384391371599157","0.00211491301777988","76.519589","126.299237","65.133028","0.659759403793684","53.628829","991.524859","915.00527","-137.674352103765","0.20407311911785","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\seed123\evaluations_2025\tier1\tier_result_20260514_161017.csv"
"core","Tier1","tiers_tier1_baseline","789","False","summary_only_no_tier_result","False","False","","","","","","","","","","","","","","","","","","","","summary_present_no_completed_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\tier1_only_seed_suite_summary.csv"
"core","Tier1","tiers_tier1_baseline","2025","True","completed","","True","16.2636179831389","14.328825316579","67.634189589147","9.25185056859412","107.324035634623","31.3700591518489","58.2855866097155","0.0430740483707968","0.435187456540896","0.00169440323934065","15.478336","64.92882","65.133028","0.499214958010544","33.713195","930.108629","914.630293","-718.575933474719","0.199069815665935","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\seed2025\evaluations_2025\tier1\tier_result_20260514_162136.csv"
"core","Tier1","tiers_tier1_baseline","3007","True","completed","","True","21.0446824549851","14.3918119896745","107.456197334917","9.25185056859412","157.609642903646","17.6016673451102","105.773181384926","0.0362421464780212","0.371909873429644","0.00149596412113074","53.222946","103.157946","65.133028","0.612973730154441","38.231555","968.357132","915.134186","-167.110822264817","0.199099934984992","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\seed3007\evaluations_2025\tier1\tier_result_20260514_163211.csv"
"core","Tier1","tiers_tier1_baseline","5001","True","completed","","True","20.3739498183517","14.3853733383234","101.893263853185","9.25185056859412","129.747980678829","18.5342387537719","84.5758643278035","0.0513616899678967","0.323760051022703","0.00175989635814024","47.908596","97.81753","65.133028","0.600289629549073","41.494915","962.991273","915.082677","-101.670175607838","0.199281953620164","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\seed5001\evaluations_2025\tier1\tier_result_20260514_164242.csv"
"core","Tier1","tiers_tier1_baseline","7009","False","summary_only_no_tier_result","True","True","","","","","","","","","","","","","","","","","","","","summary_present_no_completed_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\tier1_only_seed_suite_summary.csv"
"core","Tier1","tiers_tier1_baseline","8102","True","completed","","True","23.8679089800305","14.4084767089504","130.956906592781","9.25185056859412","116.40188636498","14.5686906016302","80.5042927860113","0.0374678160697966","0.365906619788023","0.00229062615826632","75.675433","125.718628","65.133028","0.658724324212373","58.789962","990.942938","915.267506","-240.980531974112","0.200014805052372","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\seed8102\evaluations_2025\tier1\tier_result_20260515_001354.csv"
"core","Tier1","tiers_tier1_baseline","9005","False","completed","","True","19.6922425450043","14.4002422667022","96.0898151388682","9.25185056859412","87.2857868688124","19.1335168829748","57.0004769579389","0.114967664978284","0.83968780020201","0.00252898682019628","42.335988","92.24622","65.133028","0.586139665981952","55.925571","957.537616","915.201628","-434.013548013721","0.199475408327243","unpaired_completed_run_not_in_core_average","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\seed9005\evaluations_2025\tier1\tier_result_20260515_052746.csv"
"core","Tier1+Forecast","tiers_tier1_forecast_utilization","7","True","completed","","True","30.3830140254378","14.3846499796146","185.31278239769","9.25185056859412","152.887821799008","11.3588388996852","111.277710167802","0.0550450142850194","0.319403208743854","0.00219265066437328","127.986869","177.900268","65.133028","0.731999569660392","48.12895","1043.063761","915.076892","-248.24942757722","0.199862099234654","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_forecast_utilization\seed7\evaluations_2025\tier1_forecast_utilization\tier_result_20260514_165402.csv"
"core","Tier1+Forecast","tiers_tier1_forecast_utilization","42","True","completed","","True","30.6320657335289","14.3994257707884","187.389668452057","9.25185056859412","151.827025465971","11.249469730916","110.89685847358","0.0550110791308528","0.308303524487672","0.00222479082449698","129.861076","179.894076","65.133028","0.73418031347376","50.061358","1045.056172","915.195096","34.1346857100302","0.199317438070181","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_forecast_utilization\seed42\evaluations_2025\tier1_forecast_utilization\tier_result_20260514_170431.csv"
"core","Tier1+Forecast","tiers_tier1_forecast_utilization","123","True","completed","","True","21.9619778270797","14.4105820353947","115.13407364525","9.25185056859412","190.987841376663","16.6450601308361","133.25076753053","0.033501064189102","0.245039930354111","0.00128741634041342","60.411146","110.528707","65.133028","0.629213340576359","30.414844","975.695492","915.284347","-470.735144497162","0.203652279660222","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_forecast_utilization\seed123\evaluations_2025\tier1_forecast_utilization\tier_result_20260514_171552.csv"
"core","Tier1+Forecast","tiers_tier1_forecast_utilization","789","False","summary_only_no_tier_result","False","False","","","","","","","","","","","","","","","","","","","","summary_present_no_completed_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_forecast_utilization\tier1_forecast_utilization_only_seed_suite_summary.csv"
"core","Tier1+Forecast","tiers_tier1_forecast_utilization","2025","True","completed","","True","31.6116929163767","14.3814947610506","195.55089908506","9.25185056859412","153.322819667047","10.9224182662028","111.962087218693","0.0557376956491519","0.329599873088121","0.0022682945841712","137.841539","187.728857","65.133028","0.742416584711733","50.952821","1052.893187","915.051648","76.0627708415147","0.199382162643289","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_forecast_utilization\seed2025\evaluations_2025\tier1_forecast_utilization\tier_result_20260514_172648.csv"
"core","Tier1+Forecast","tiers_tier1_forecast_utilization","3007","True","completed","","True","29.5813815361363","14.3610983083458","178.624169637114","9.25185056859412","144.262786140778","11.5843389382861","105.120495676834","0.0532794043588988","0.306860991565469","0.00226653567958292","121.762225","171.479197","65.133028","0.724726700555911","47.502102","1036.650702","914.888477","-31.0620940445381","0.19926782502733","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_forecast_utilization\seed3007\evaluations_2025\tier1_forecast_utilization\tier_result_20260514_173652.csv"
"core","Tier1+Forecast","tiers_tier1_forecast_utilization","5001","True","completed","","True","31.6979500605232","14.3624766999502","196.267758108305","9.25185056859412","151.661394812353","10.8623540462957","110.921924700093","0.0569075587984164","0.326500895098674","0.00229892481861891","138.68374","188.417042","65.133028","0.743115716643353","53.166762","1053.583244","914.899504","44.8808900036529","0.199493409733643","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_forecast_utilization\seed5001\evaluations_2025\tier1_forecast_utilization\tier_result_20260514_174716.csv"
"core","Tier1+Forecast","tiers_tier1_forecast_utilization","7009","False","summary_only_no_tier_result","False","False","","","","","","","","","","","","","","","","","","","","summary_present_no_completed_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_forecast_utilization\tier1_forecast_utilization_only_seed_suite_summary.csv"
"core","Tier1+Forecast","tiers_tier1_forecast_utilization","8102","True","completed","","True","32.285987110013","14.3998132667733","201.166205758576","9.25185056859412","149.7080458019","10.6894114461383","109.771065801123","0.0573246758276063","0.342918132459976","0.00236874443975681","143.089343","193.119555","65.133028","0.747793313941049","54.563537","1058.287541","915.198198","-123.418442553616","0.199938042678354","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_forecast_utilization\seed8102\evaluations_2025\tier1_forecast_utilization\tier_result_20260515_002333.csv"
"core","Tier1+Forecast","tiers_tier1_forecast_utilization","9005","False","summary_only_no_tier_result","False","False","","","","","","","","","","","","","","","","","","","","summary_present_no_completed_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_forecast_utilization\tier1_forecast_utilization_only_seed_suite_summary.csv"
