"experiment_group","paper_variant","suite","seed","paired_core_included","record_type","status_normalized","source_file","source_last_write","notes","variant","status","final_portfolio_value_usd","initial_portfolio_value_usd","total_return_pct","sharpe_ratio","max_drawdown_pct","volatility","total_distributions_usd","reported_nav_final_usd","reported_nav_return_pct","reported_nav_sharpe","total_rewards","average_risk","trading_gain_usd","operating_gain_usd","trading_gain_share","trading_return_pct","operating_return_pct","mean_abs_exposure_dkk","trading_sharpe","trading_max_dd_pct","run_dir","final_models_dir","phase","global_run_number","total_planned_runs","run_order","run_name","canonical_variant","save_dir","eval_output_dir","training_success","training_returncode","training_duration_seconds","evaluation_success","evaluation_results_json","total_return","step_volatility","periods_per_year","annual_risk_free_rate","per_step_risk_free_rate","max_drawdown","initial_portfolio_value","final_portfolio_value","investor_0_total_reward","investor_0_avg_reward","battery_operator_0_total_reward","battery_operator_0_avg_reward","risk_controller_0_total_reward","risk_controller_0_avg_reward","meta_controller_0_total_reward","meta_controller_0_avg_reward","max_risk","min_risk","evaluation_steps","evaluation_timestamp","reported_nav_total_return","reported_nav_volatility","reported_nav_step_volatility","reported_nav_sharpe_ratio","reported_nav_max_drawdown","reported_nav_initial_portfolio_value","reported_nav_final_portfolio_value","distribution_adjusted_evaluation","action_inference_success_rate","action_inference_success_rate_all_agents","models_loaded","evaluation_mode","env_log_dir","env_debug_log","sleeve_total_initial_usd","sleeve_total_final_usd","sleeve_total_gain_usd","sleeve_reported_nav_initial_usd","sleeve_reported_nav_final_usd","sleeve_trading_initial_usd","sleeve_trading_final_usd","sleeve_trading_gain_usd","sleeve_reported_trading_initial_usd","sleeve_reported_trading_final_usd","sleeve_operating_initial_usd","sleeve_operating_final_usd","sleeve_operating_gain_usd","sleeve_total_distributions_usd","sleeve_trading_gain_share","sleeve_trading_return_pct","sleeve_operating_return_pct","sleeve_trading_volatility","sleeve_trading_step_volatility","sleeve_trading_sharpe_ratio","sleeve_trading_max_drawdown_pct","sleeve_mean_abs_exposure_dkk","sleeve_max_abs_exposure_dkk","tier_report_scope","tier_report_csv","tier_report_md"
"ablation","Forecast prior only","abl_forecast_prior_only","7","False","completed_evaluation","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_forecast_prior_only\seed7\evaluations_2025\tier1_forecast_utilization\tier_result_20260514_222811.csv","2026-05-14 22:28:11","completed_tier_result","tier1","completed","998343562.1234932","799999730.8006192","24.792987258180265","140.11890518038192","0.0521248065310629","0.0019739618028620665","83327018.76436818","915016543.359125","14.377106407698403","14.045527263782255","-411.3594068255584","0.1996334549532042","133193173.93450476","65133028.002875805","0.6715863694932204","138.74289168025706","9.251850568594122","35512998.7646316","98.5915714085738","0.36354040677414984","batch_tier_phase_runs/abl_forecast_prior_only\seed7\tier1_forecast_utilization_seed7","batch_tier_phase_runs/abl_forecast_prior_only\seed7\tier1_forecast_utilization_seed7\final_models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ablation","Forecast prior only","abl_forecast_prior_only","42","False","completed_evaluation","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_forecast_prior_only\seed42\evaluations_2025\tier1_forecast_utilization\tier_result_20260515_035713.csv","2026-05-15 03:57:13","completed_tier_result","tier1","completed","998223488.8705137","799999729.3024942","24.77797833017361","140.04441447732233","0.05205247648925097","0.0019738624541854213","82609726.91454303","915613761.9559706","14.451758971753437","14.163266091724568","-80.34312125530096","0.19905212399675132","133072842.80801958","65133028.002875805","0.6713869890109461","138.6175489180709","9.251850568594122","35421356.66772594","98.53142378767754","0.3635177044883025","batch_tier_phase_runs/abl_forecast_prior_only\seed42\tier1_forecast_utilization_seed42","batch_tier_phase_runs/abl_forecast_prior_only\seed42\tier1_forecast_utilization_seed42\final_models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ablation","Forecast prior only","abl_forecast_prior_only","123","False","summary_only_attempt","summary_only_no_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_forecast_prior_only\tier1_forecast_utilization_only_seed_suite_summary.csv","2026-05-15 11:57:15","attempted_or_planned_run_without_completed_tier_result","","","","","","","","","","","","","","","","","","","","","","","","","tier1_forecast_utilization_only","3","6","1","Tier 1 + conformal ANN forecast-cache utilization","tier1_forecast_utilization","batch_tier_phase_runs/abl_forecast_prior_only\seed123\tier1_forecast_utilization_seed123","batch_tier_phase_runs/abl_forecast_prior_only\seed123\evaluations_2025\tier1_forecast_utilization","False","1","28800.174221515656","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ablation","No prior path control","abl_no_prior_path_control","7","False","summary_only_attempt","summary_only_no_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_no_prior_path_control\tier1_forecast_utilization_only_seed_suite_summary.csv","2026-05-14 22:11:00","attempted_or_planned_run_without_completed_tier_result","","","","","","","","","","","","","","","","","","","","","","","","","tier1_forecast_utilization_only","1","6","1","Tier 1 + conformal ANN forecast-cache utilization","tier1_forecast_utilization","batch_tier_phase_runs/abl_no_prior_path_control\seed7\tier1_forecast_utilization_seed7","batch_tier_phase_runs/abl_no_prior_path_control\seed7\evaluations_2025\tier1_forecast_utilization","False","1","23418.0626244545","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ablation","Weak conformal gate","abl_weak_conformal_gate","123","False","summary_only_attempt","summary_only_no_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_weak_conformal_gate\tier1_forecast_utilization_only_seed_suite_summary.csv","2026-05-15 11:58:58","attempted_or_planned_run_without_completed_tier_result","","","","","","","","","","","","","","","","","","","","","","","","","tier1_forecast_utilization_only","3","6","1","Tier 1 + conformal ANN forecast-cache utilization","tier1_forecast_utilization","batch_tier_phase_runs/abl_weak_conformal_gate\seed123\tier1_forecast_utilization_seed123","batch_tier_phase_runs/abl_weak_conformal_gate\seed123\evaluations_2025\tier1_forecast_utilization","False","1","28800.738533735275","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ablation","Weak conformal gate","abl_weak_conformal_gate","7","False","completed_evaluation","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_weak_conformal_gate\seed7\evaluations_2025\tier1_forecast_utilization\tier_result_20260514_222957.csv","2026-05-14 22:29:57","completed_tier_result","tier1","completed","1203843169.409947","799999730.8006192","50.48044681279724","164.41446427297865","0.08582082058866528","0.0032057505722518365","288363224.3226112","915479945.0873357","14.435031643216533","7.496769929699386","57.553910950090085","0.20077550910507763","338560037.59989476","65133028.002875805","0.8386570551921103","352.6667113367533","9.251850568594122","98517161.06421413","122.92980766841296","0.6027473333935327","batch_tier_phase_runs/abl_weak_conformal_gate\seed7\tier1_forecast_utilization_seed7","batch_tier_phase_runs/abl_weak_conformal_gate\seed7\tier1_forecast_utilization_seed7\final_models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ablation","Weak conformal gate","abl_weak_conformal_gate","42","False","completed_evaluation","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_weak_conformal_gate\seed42\evaluations_2025\tier1_forecast_utilization\tier_result_20260515_035855.csv","2026-05-15 03:58:55","completed_tier_result","tier1","completed","1187854743.4122944","799999729.3024942","48.48189316863447","172.55791835166158","0.08027427506674695","0.0029507720873216178","272133414.4826776","915721328.9296168","14.465204848008927","7.757499744528719","397.70239609157954","0.20008945510491014","322602244.20148027","65133028.002875805","0.8320167581541369","336.04401486479105","9.251850568594122","92651608.65904678","129.07821307606403","0.5753884593173216","batch_tier_phase_runs/abl_weak_conformal_gate\seed42\tier1_forecast_utilization_seed42","batch_tier_phase_runs/abl_weak_conformal_gate\seed42\tier1_forecast_utilization_seed42\final_models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"baseline","Buy-and-hold","baselines/Baseline3_BuyAndHold","","False","pending_baseline","pending","","","Passive cash/bond floor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"baseline","IEEE standards","baselines/Baseline4_IEEE","","False","pending_baseline","pending","","","Non-learning compliance baseline","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"baseline","Rule-based heuristic","baselines/Baseline2_RuleBasedHeuristic","","False","pending_baseline","pending","","","Expert-rule baseline","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"baseline","SARL","baselines/Baseline5_SARL","","False","pending_baseline","pending","","","Single-agent RL baseline","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"baseline","Traditional portfolio","baselines/Baseline1_TraditionalPortfolio","","False","pending_baseline","pending","","","Markowitz-style optimization baseline","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"core","Tier1","tiers_tier1_baseline","7","True","completed_evaluation","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\seed7\evaluations_2025\tier1\tier_result_20260514_154841.csv","2026-05-14 15:48:41","completed_tier_result","tier1","completed","1008747234.2729264","799999730.8006192","26.09344671446303","99.82350843731776","0.05744916984794229","0.0029097825526109944","93406910.1817478","915340324.0911787","14.417579012824099","13.050737461191781","-359.6215369997037","0.2003808066589536","143479642.6311276","65133028.002875805","0.687780095979178","149.45796340645293","9.251850568594122","76735927.4346197","71.3294796568884","0.40814867920231157","batch_tier_phase_runs\tiers_tier1_baseline\seed7\tier1_seed7","batch_tier_phase_runs\tiers_tier1_baseline\seed7\tier1_seed7\final_models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"core","Tier1","tiers_tier1_baseline","42","True","completed_evaluation","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\seed42\evaluations_2025\tier1\tier_result_20260514_155943.csv","2026-05-14 15:59:43","completed_tier_result","tier1","completed","977433497.5136728","799999729.3024942","22.17922853122465","111.80854587376103","0.16472270547745357","0.0022204394121649123","61972780.21837032","915460717.2953025","14.432628382696677","16.228469440026416","-147.36734884730436","0.19942574468207303","112251396.78902248","65133028.002875805","0.6328142784842143","116.92854197134798","9.251850568594122","56034764.140177965","76.86476675822624","1.060447978292051","batch_tier_phase_runs\tiers_tier1_baseline\seed42\tier1_seed42","batch_tier_phase_runs\tiers_tier1_baseline\seed42\tier1_seed42\final_models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"core","Tier1","tiers_tier1_baseline","123","True","completed_evaluation","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\seed123\evaluations_2025\tier1\tier_result_20260514_161017.csv","2026-05-14 16:10:17","completed_tier_result","tier1","completed","991524859.0335125","799999729.3024942","23.940649317219865","126.44417387706528","0.036835630936318524","0.0021149130177798817","76519589.25529218","915005269.7782203","14.375697423797561","14.61598620339609","-137.6743521037647","0.20407311911785042","126299237.07398218","65133028.002875805","0.6597594037936836","131.56170939156254","9.251850568594122","53628828.54014963","89.21072662915837","0.3843913715991572","batch_tier_phase_runs\tiers_tier1_baseline\seed123\tier1_seed123","batch_tier_phase_runs\tiers_tier1_baseline\seed123\tier1_seed123\final_models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"core","Tier1","tiers_tier1_baseline","3007","True","completed_evaluation","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\seed3007\evaluations_2025\tier1\tier_result_20260514_163211.csv","2026-05-14 16:32:11","completed_tier_result","tier1","completed","968357131.9749448","799999729.3024942","21.044682454985143","157.6096429036465","0.03624214647802119","0.0014959641211307426","53222945.713330984","915134186.2616138","14.391811989674475","17.60166734511021","-167.110822264817","0.1990999349849923","103157946.22186342","65133028.002875805","0.6129737301544415","107.45619733491654","9.251850568594122","38231554.582412325","105.77318138492619","0.3719098734296445","batch_tier_phase_runs\tiers_tier1_baseline\seed3007\tier1_seed3007","batch_tier_phase_runs\tiers_tier1_baseline\seed3007\tier1_seed3007\final_models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"core","Tier1","tiers_tier1_baseline","5001","True","completed_evaluation","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\seed5001\evaluations_2025\tier1\tier_result_20260514_164242.csv","2026-05-14 16:42:42","completed_tier_result","tier1","completed","962991272.6975334","799999729.3024942","20.373949818351655","129.74798067882898","0.05136168996789667","0.0017598963581402429","47908595.62929869","915082677.0682347","14.385373338323415","18.53423875377191","-101.67017560783825","0.1992819536201637","97817530.2460809","65133028.002875805","0.600289629549073","101.89326385318536","9.251850568594122","41494914.710101776","84.57586432780346","0.323760051022703","batch_tier_phase_runs\tiers_tier1_baseline\seed5001\tier1_seed5001","batch_tier_phase_runs\tiers_tier1_baseline\seed5001\tier1_seed5001\final_models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"core","Tier1","tiers_tier1_baseline","2025","True","completed_evaluation","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\seed2025\evaluations_2025\tier1\tier_result_20260514_162136.csv","2026-05-14 16:21:36","completed_tier_result","tier1","completed","930108629.1423969","799999729.3024942","16.263617983138868","107.32403563462275","0.04307404837079683","0.0016944032393406544","15478336.09504342","914630293.0473535","14.32882531657902","31.370059151848892","-718.5759334747186","0.1990698156659354","64928819.979091614","65133028.002875805","0.4992149580105443","67.63418958914697","9.251850568594122","33713194.68056633","58.285586609715544","0.43518745654089613","batch_tier_phase_runs\tiers_tier1_baseline\seed2025\tier1_seed2025","batch_tier_phase_runs\tiers_tier1_baseline\seed2025\tier1_seed2025\final_models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"core","Tier1","tiers_tier1_baseline","789","False","summary_only_attempt","summary_only_no_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\tiers_tier1_baseline\tier1_only_seed_suite_summary.csv","2026-05-15 05:27:48","attempted_or_planned_run_without_completed_tier_result","","","","","","","","","","","","","","","","","","","","","","","","","tier1_only","4","5","1","Tier 1 hybrid RL baseline","tier1","batch_tier_phase_runs/tiers_tier1_baseline\seed789\tier1_seed789","batch_tier_phase_runs/tiers_tier1_baseline\seed789\evaluations_2025\tier1","False","1","15072.20981168747","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
